,x,V_blue,V_dashed,V_dotted
262,3.1000000000000014,0.0017467734714076144,0.00783182721793579,0.004155178618639339
263,3.1500000000000004,0.002615664869658474,0.008688982107965537,0.005174301710287008
264,3.200000000000001,0.003625966576897177,0.0096905812380043,0.006296010410655807
265,3.25,0.0047703890029868745,0.01082858434916483,0.007522616266586337
266,3.3000000000000007,0.006044980790835375,0.012098465690284303,0.008857516828725445
267,3.3500000000000014,0.007448464959683321,0.013498511356444186,0.010305026516780943
268,3.4000000000000004,0.008981710666750686,0.015029260100783804,0.011870243454350119
269,3.450000000000001,0.010647316512789828,0.01669306213196705,0.013558945901411514
270,3.5,0.012449284760204016,0.018493734063012784,0.015377512825907253
271,3.5500000000000007,0.014392769003798378,0.02043629153819281,0.01733286399609289
272,3.6000000000000014,0.016483880689802888,0.02252674408870763,0.019432415731330966
273,3.6500000000000004,0.018729542400656385,0.024771939437181385,0.021684049116339987
274,3.700000000000001,0.021137378012794805,0.02717944678797258,0.024096088063147173
275,3.75,0.023715631707197815,0.02975747062128505,0.026677285100240863
276,3.8000000000000007,0.026473109391884186,0.03251478817967099,0.029436813186071747
277,3.8500000000000014,0.02941913741079727,0.03546070522660463,0.032384262191820806
278,3.9000000000000004,0.032563534495926305,0.03860502580152928,0.0355296389845363
279,3.950000000000001,0.03591659380038159,0.041958032627338986,0.0388833702746294
280,4.0,0.039489072559494076,0.045530475576404286,0.04245630757925505
281,4.050000000000001,0.04329218749254249,0.04933356619928612,0.04625973380261618
282,4.100000000000001,0.047337614504224135,0.05337897679247026,0.05030537105227161
283,4.15,0.05163749159433362,0.057678842850867676,0.054605389402886534
284,4.200000000000001,0.05620442415496285,0.062245768037243146,0.05917241639046482
285,4.25,0.06105149204273097,0.06709283102089815,0.06401954707514412
286,4.300000000000001,0.06619225797226669,0.07223359370575859,0.06916035455259364
287,4.350000000000001,0.07164077689714965,0.07768211049488272,0.0746089008257654
288,4.4,0.07741160613447118,0.08345293833356891,0.08037974797254624
289,4.450000000000001,0.08351981605618519,0.08956114734404928,0.08648796956255703
290,4.5,0.08998100121982766,0.0960223319170443,0.09294916228941505
291,4.550000000000001,0.09681129184746773,0.10285262216379064,0.09977945779436732
292,4.600000000000001,0.10402736558807568,0.11006869566002596,0.10699553466416059
293,4.65,0.11164645951760299,0.11768778943356893,0.11461463059106186
294,4.700000000000001,0.1196863823446579,0.12572771216156603,0.12265455468654558
295,4.75,0.1281655267994415,0.13420685655376433,0.13113369994273563
296,4.800000000000001,0.13710288219046696,0.1431442119054485,0.14007105583751622
297,4.850000000000001,0.14651804711839667,0.15255937680877527,0.14948622108048862
298,4.9,0.15643124233974603,0.1624725720148163,0.1593994164978581
299,4.950000000000001,0.16686332377548307,0.1729046534410775,0.16983149805493913
300,5.0,0.17783579566120533,0.18387712532096295,0.18080397001539472
301,5.050000000000001,0.18937082383664272,0.1954121534928246,0.19233899823662592
302,5.100000000000001,0.20149124917300565,0.20753257882700696,0.20445942360090597
303,5.15,0.2142206011371739,0.22026193078985365,0.217188775582008
304,5.200000000000001,0.22758311149209742,0.23362444114397796,0.23055128594714872
305,5.25,0.24160372813294462,0.24764505778434628,0.2445719025941312
306,5.300000000000001,0.256308129058775,0.26234945870989085,0.2592763035236267
307,5.350000000000001,0.27172273647950185,0.2777640661304479,0.27469091094653186
308,5.4,0.2878747310580634,0.2939160607089088,0.29084290552638126
309,5.450000000000001,0.30479206628772104,0.3108333959385076,0.30776024075679687
310,5.5,0.32250348300443044,0.3285448126551823,0.3254716574739496
311,5.550000000000001,0.3410385240342677,0.3470798536849986,0.34400669850404436
312,5.600000000000001,0.3604275489758768,0.3664688786265965,0.36339572344580356
313,5.65,0.3807017491179474,0.3867430787686596,0.38366992358795965
314,5.700000000000001,0.4018931624916924,0.407934492142401,0.4048613369617544
315,5.75,0.42403468905834085,0.43007601870904744,0.42700286352843136
316,5.800000000000001,0.4471601060316317,0.4532014356823374,0.45012828050173864
317,5.850000000000001,0.4713040833353084,0.4773454129860125,0.4742722578054233
318,5.9,0.49650219919561245,0.5025435288463171,0.49947037366573355
319,5.950000000000001,0.5227909558687971,0.5288322855195007,0.5257591303389201
320,6.0,0.5502077955036064,0.5562491251543102,0.5531759699737314
321,6.050000000000001,0.5787911161387935,0.5848324457894971,0.5817592906089193
322,6.100000000000001,0.608580287835605,0.6146216174863091,0.6115484623057316
323,6.150000000000002,0.639615668945293,0.6456569985959969,0.6425838434154199
324,6.199999999999999,0.6719386225116031,0.6779799521623071,0.6749067969817302
325,6.25,0.7055915328082909,0.7116328624589954,0.7085597072784183
326,6.300000000000001,0.740617822011604,0.7466591516623083,0.7435859964817316
327,6.350000000000001,0.7770619670077927,0.783103296658496,0.7800301414779193
328,6.400000000000002,0.8149695163356059,0.8210108459863095,0.8179376908057326
329,6.449999999999999,0.8543871072637907,0.8604284369144946,0.8573552817339176
