,time,survival_unbiased,survival_biased,survival_fitted
7014,0.603453238652,,-0.00018615449701902555,-0.00043701384005987766
2526,0.6062673603440001,,-0.00018677300825633954,-0.0004373508902723053
4219,0.612797822808,,-0.00018739151987609887,-0.0004381330503924591
2495,0.615312837888,,-0.0001880100318785261,-0.00043843427630226343
370,0.61538863482,,-0.00018862854426339963,-0.000438443354577771
5037,0.6172367450399999,,-0.00018924705703094198,-0.00043866470461533744
1388,0.6220338083520001,,-0.00018986557018104265,-0.00043923925375901344
2960,0.626280044984,,-0.000190484083713591,-0.00043974782983193254
1949,0.6267166592,,-0.00019110259762880963,-0.00043980012355990814
1135,0.626874774188,,-0.00019172111192647693,-0.00043981906115256623
4598,0.6354290353380001,,-0.00019233962660681543,-0.00044084361369624823
704,0.636474112,,-0.00019295814166960353,-0.0004409687835891962
4133,0.64169386821,,-0.0001935766571150638,-0.0004415939590904556
1438,0.642515262984,,-0.00019419517294308567,-0.0004416923383765578
1796,0.643526692536,,-0.00019481368915355855,-0.00044181347832097684
3368,0.647100114702,,-0.00019543220574670501,-0.000442241470722147
6852,0.6522913379199999,,-0.00019605072272230347,-0.000442863228797983
2512,0.6536085202959999,,-0.00019666924008057644,-0.0004430209890685849
4038,0.65544142534,,-0.0001972877578213023,-0.000443240517966783
5402,0.659736603876,,-0.00019790627594470366,-0.0004437549558612383
5999,0.6638618257319999,,-0.00019852479445066993,-0.000444249037871561
4400,0.6651799758,,-0.00019914331333909053,-0.00044440691404361635
1140,0.6658426176000001,,-0.00019976183261018803,-0.00044448627932482945
7078,0.670454743712,,-0.0002003803522637408,-0.0004450386783522816
3868,0.670642907928,,-0.00020099887229997143,-0.0004450612149714884
936,0.67226249916,,-0.00020161739271865828,-0.00044525519505783054
1598,0.6776788773239999,,-0.0002022359135200239,-0.0004459039201701647
2654,0.6798536427959999,,-0.00020285443470395776,-0.00044616439403893937
2814,0.683339728128,,-0.00020347295627034926,-0.0004465819260188221
661,0.684357237006,,-0.00020409147821942098,-0.00044670379409028887
2658,0.684876473448,,-0.00020471000055095128,-0.0004467659835661647
5454,0.68783393236,,-0.00020532852326516274,-0.0004471202014229722
4147,0.694815902412,,-0.00020594704636194477,-0.00044795643906538833
7435,0.6981874158879999,,-0.00020656556984118685,-0.00044836024865774497
5222,0.7064230313200001,,-0.00020718409370311147,-0.0004493466366802386
626,0.7070162183819999,,-0.00020780261794749706,-0.0004494176832969591
5660,0.707895677666,,-0.00020842114257456617,-0.000449523017028381
334,0.7091830240200001,,-0.0002090396675840972,-0.0004496772038083334
6757,0.7109042194000001,,-0.00020965819297631268,-0.00044988335312664743
6842,0.7143897653400001,,-0.00021027671875110208,-0.0004503008205030026
7121,0.716293375716,,-0.0002108952449083548,-0.00045052881785060636
5277,0.7174345288139999,,-0.0002115137714482934,-0.0004506654949158473
