,time,survival_unbiased,survival_biased
257,149.37893,-0.02613865760969481,
258,149.838326,-0.026241311205227127,
8382,152.57854653599998,,-0.013948073307394327
8383,152.84256072,,-0.01404985965793253
259,152.843848,-0.026343975339601977,
260,153.481932,-0.026446650014983503,
8384,154.577569536,,-0.014151656369986668
261,154.693626,-0.026549335233536524,
262,156.43126800000002,-0.026652030997426513,
263,156.629204,-0.026754737308819613,
264,157.333268,-0.026857454169882642,
265,157.48582000000002,-0.02696018158278308,
266,159.366308,-0.027062919549689073,
267,159.667664,-0.02716566807276955,
268,159.795368,-0.027268427154193777,
8385,160.21486352399998,,-0.014253463445666385
8386,161.04048626,,-0.014355280887081961
269,161.16146,-0.027371196796132015,
270,161.350784,-0.02747397700075509,
271,161.821402,-0.027576767770234493,
8387,162.668840624,,-0.014457108696344664
272,163.0937,-0.02767956910674239,
273,163.27119399999998,-0.02778238101245161,
274,163.299788,-0.027885203489535663,
275,163.34859400000002,-0.027988036540168713,
276,163.39935200000002,-0.02809088016652561,
277,163.420504,-0.028193734370781983,
8388,164.008882368,,-0.014558946875566064
278,164.512838,-0.02829659915511379,
279,164.70039799999998,-0.028399474521698,
280,164.769948,-0.02850236047271215,
281,164.777392,-0.028605257010334437,
282,165.53560399999998,-0.02870816413674374,
283,165.617232,-0.0288110818541196,
8389,165.76409577,,-0.014660795426858494
284,166.400588,-0.028914010164642245,
285,166.87633799999998,-0.029016949070492563,
286,167.01079800000002,-0.029119898573852124,
287,167.285982,-0.029222858676903284,
288,167.664582,-0.029325829381828733,
8390,167.96043359200002,,-0.014762654352334816
289,168.072258,-0.029428810690812168,
290,168.59697,-0.029531802606037858,
8391,169.3301864,,-0.014864523654108877
291,170.24153,-0.02963480512969074,
292,172.61357999999998,-0.029737818263956432,
293,173.291482,-0.02984084201102122,
8392,174.132409128,,-0.014966403334294833
294,175.298412,-0.029943876373072074,
8393,175.827079214,,-0.015068293395007596
295,175.971516,-0.030046921352296637,
296,176.643308,-0.03014997695088322,
297,176.71648199999998,-0.03025304317102094,
298,178.873044,-0.030356120014899235,
299,178.87316,-0.030459207484708574,
8394,182.268389104,,-0.015170193838362617
300,183.131204,-0.03056230558263998,
301,183.290478,-0.030665414310885153,
302,183.885598,-0.030768533671636483,
303,184.364148,-0.03087166366708703,
304,186.106406,-0.030974804299430527,
305,186.513356,-0.031077955570861397,
8395,186.848164708,,-0.015272104666476327
306,187.032168,-0.031181117483574737,
8396,187.06219911,,-0.015374025881465468
307,187.1362,-0.03128429003976644,
308,187.532844,-0.03138747324163273,
309,188.02264000000002,-0.03149066709137085,
310,188.27120000000002,-0.03159387159117863,
311,189.35468,-0.03169708674325456,
312,189.388204,-0.03180031254979782,
313,189.61151800000002,-0.03190354901300828,
314,189.792724,-0.03200679613508645,
315,189.826738,-0.032110053918233586,
316,190.353722,-0.032213322364651575,
317,191.174168,-0.03231660147654312,
318,191.743104,-0.03241989125611126,
319,192.101978,-0.03252319170556006,
320,192.472818,-0.032626502827094166,
8397,192.70104768,,-0.01547595748544754
8398,192.708037376,,-0.015577899480540584
321,192.877146,-0.03272982462291888,
322,192.894748,-0.03283315709524021,
8399,193.57548814999998,,-0.015679851868863618
8400,193.63633708999998,,-0.01578181465253598
323,195.518312,-0.03293650024626485,
324,196.525926,-0.033039854078200155,
325,197.021438,-0.033143218593254184,
326,198.085714,-0.03324659379363568,
327,198.57414799999998,-0.03334997968155419,
8401,198.818780538,,-0.015883787833677755
